Set_ID,Name,Year,Theme,Theme_Group,Subtheme,Category,Packaging,Num_Instructions,Availability,Pieces,Minifigures,Owned,Rating,Total_Quantity,Current_Price
8803-1,Fisherman,2011,Collectable Minifigures,Miscellaneous,Series 3,Normal,Foil pack,2,Retail,9.0,1.0,8486.0,3.9,1.0,12.0
8803-2,Pilot,2011,Collectable Minifigures,Miscellaneous,Series 3,Normal,Foil pack,0,Retail,7.0,1.0,8532.0,3.5,5.0,153.45
8804-2,Kimono Girl,2011,Collectable Minifigures,Miscellaneous,Series 4,Normal,Foil pack,0,Retail,6.0,1.0,9722.0,4.0,3.0,138.6
8805-1,Graduate,2011,Collectable Minifigures,Miscellaneous,Series 5,Normal,Foil pack,2,Retail,7.0,1.0,8214.0,3.8,2.0,7.6415
8805-2,Gladiator,2011,Collectable Minifigures,Miscellaneous,Series 5,Normal,Foil pack,0,Retail,7.0,1.0,9235.0,4.1,1.0,125.0
9348-1,Community Minifigure Set,2011,Education,Educational,,Normal,{Not specified},0,{Not specified},256.0,22.0,1069.0,0.0,1.0,40.0
9349-1,Fairytale and Historic Minifigure Set,2011,Education,Educational,,Normal,{Not specified},0,{Not specified},227.0,22.0,1026.0,0.0,5.0,71.537
9585-1,WeDo Resource Set,2011,Education,Educational,,Normal,Tub,0,Educational,326.0,,109.0,0.0,1.0,69.99
10217-1,Diagon Alley,2011,Harry Potter,Licensed,General,Normal,Box,6,LEGO exclusive,2025.0,12.0,6083.0,4.3,3.0,377.8796
10218-1,Pet Shop,2011,Advanced models,Model making,Modular Buildings Collection,Normal,Box,4,Retail - limited,2032.0,4.0,25758.0,4.3,47.0,325.0
10219-1,Maersk Train,2011,Advanced models,Model making,Trains,Normal,Box,2,LEGO exclusive,1234.0,3.0,6150.0,4.6,9.0,420.0
10220-1,Volkswagen T1 Camper Van,2011,Advanced models,Model making,Vehicles,Normal,Box,10,LEGO exclusive,1334.0,,26974.0,4.4,27.0,135.0
10221-1,Super Star Destroyer ,2011,Star Wars,Licensed,Ultimate Collector Series,Normal,Box,1,LEGO exclusive,3152.0,5.0,7640.0,4.4,9.0,1499.99
10222-1,Winter Village Post Office,2011,Advanced models,Model making,Winter Village Collection,Normal,Box,3,LEGO exclusive,822.0,7.0,8868.0,4.3,3.0,499.0
10231-1,Shuttle Expedition,2011,Advanced models,Model making,Space,Normal,Box,4,LEGO exclusive,1230.0,3.0,3869.0,4.5,1.0,449.95
20019-1,Slave I,2011,Star Wars,Licensed,Episode V,Normal,Polybag,0,LEGO exclusive,76.0,,2158.0,3.9,12.0,15.0
20020-1,Mini Turbo Shredder,2011,Ninjago,Action/Adventure,Pilot Season,Normal,Polybag,0,LEGO exclusive,83.0,,509.0,0.0,3.0,12.99
20021-1,Bounty Hunter Assault Gunship,2011,Star Wars,Licensed,The Clone Wars,Normal,Polybag,0,LEGO exclusive,81.0,,1034.0,3.7,7.0,12.0
20200-1,Space Designer,2011,Master Builder Academy,Miscellaneous,,Normal,Box,1,LEGO exclusive,178.0,1.0,2243.0,3.7,1.0,27.98
20202-1,Robots,2011,Master Builder Academy,Miscellaneous,,Normal,Polybag,0,LEGO exclusive,155.0,,850.0,0.0,1.0,7.5
21000-2,Willis Tower,2011,Architecture,Model making,Landmark Series,Normal,Box,0,Retail - limited,69.0,,2443.0,3.5,3.0,127.3902
21007-1,Rockefeller Center,2011,Architecture,Model making,Architect Series,Normal,Box,3,Retail - limited,240.0,,3103.0,3.6,3.0,150.0
21008-1,Burj Khalifa,2011,Architecture,Model making,Landmark Series,Normal,Box,2,Retail - limited,208.0,,3389.0,3.2,2.0,78.99
21009-1,Farnsworth House,2011,Architecture,Model making,Architect Series,Normal,Box,2,Retail - limited,546.0,,3629.0,4.1,2.0,275.0
